Action_ID,R_S_Yaw,R_S_Pitch,R_S_Roll,R_E_Yaw,R_E_Pitch,R_E_Roll,R_W_Yaw,R_W_Pitch,R_W_Roll,L_S_Yaw,L_S_Pitch,L_S_Roll,L_E_Yaw,L_E_Pitch,L_E_Roll,L_W_Yaw,L_W_Pitch,L_W_Roll
0,-52.42,24.38,62.09,-40.66,18.40,-31.26,16.96,-33.88,27.04,166.50,32.73,-65.30,0.32,1.45,91.28,-55.36,-3.80,7.12
0,-52.42,24.38,62.09,-40.66,18.40,-31.26,16.96,-33.88,27.04,166.50,32.73,-65.30,0.32,1.45,91.28,-55.36,-3.80,7.12
0,-52.42,24.38,62.09,-40.66,18.40,-31.26,16.96,-33.88,27.04,166.50,32.73,-65.30,0.32,1.45,91.28,-55.36,-3.80,7.12
0,-52.42,24.38,62.09,-40.66,18.40,-31.26,17.48,-33.71,26.50,166.50,32.73,-65.30,0.32,1.45,91.28,-55.36,-3.80,7.12
0,-52.42,24.38,62.09,-40.66,18.40,-31.26,17.48,-33.71,26.50,166.50,32.73,-65.30,0.32,1.45,91.28,-55.36,-3.80,7.12
0,-52.42,24.38,62.09,-40.66,18.40,-31.26,17.48,-33.71,26.50,166.69,31.81,-65.02,0.32,1.45,91.28,-55.36,-3.80,7.12
0,-52.42,24.38,62.09,-40.66,18.40,-31.26,17.48,-33.71,26.50,166.69,31.81,-65.02,0.32,1.45,91.28,-55.72,-3.78,6.89
0,-52.42,24.38,62.09,-40.66,18.40,-31.26,17.48,-33.71,26.50,166.69,31.81,-65.02,0.32,1.45,91.28,-55.72,-3.78,6.89
0,-52.42,24.38,62.09,-41.20,17.76,-31.63,17.48,-33.71,26.50,166.69,31.81,-65.02,0.32,1.45,91.28,-55.72,-3.78,6.89
0,-51.91,23.62,60.18,-41.20,17.76,-31.63,17.48,-33.71,26.50,166.69,31.81,-65.02,0.22,1.47,91.49,-55.72,-3.78,6.89
0,-51.91,23.62,60.18,-41.20,17.76,-31.63,17.48,-33.71,26.50,166.69,31.81,-65.02,0.22,1.47,91.49,-55.72,-3.78,6.89
0,-51.91,23.62,60.18,-41.20,17.76,-31.63,18.65,-31.89,25.17,166.34,31.79,-65.23,0.22,1.47,91.49,-55.72,-3.78,6.89
0,-51.91,23.62,60.18,-41.20,17.76,-31.63,18.65,-31.89,25.17,166.34,31.79,-65.23,0.22,1.47,91.49,-55.99,-3.44,6.65
0,-51.91,23.62,60.18,-41.20,17.76,-31.63,18.65,-31.89,25.17,166.34,31.79,-65.23,0.22,1.47,91.49,-55.99,-3.44,6.65
0,-51.91,23.62,60.18,-41.26,19.26,-31.98,18.65,-31.89,25.17,166.34,31.79,-65.23,0.22,1.47,91.49,-55.99,-3.44,6.65
0,-50.53,24.15,61.08,-41.26,19.26,-31.98,18.65,-31.89,25.17,166.34,31.79,-65.23,0.22,1.47,91.49,-55.99,-3.44,6.65
0,-50.53,24.15,61.08,-41.26,19.26,-31.98,18.65,-31.89,25.17,166.34,31.79,-65.23,0.22,1.47,91.49,-55.99,-3.44,6.65
0,-50.53,24.15,61.08,-41.26,19.26,-31.98,20.62,-30.22,22.68,166.22,31.41,-65.41,-0.48,1.31,90.99,-55.99,-3.44,6.65
0,-50.53,24.15,61.08,-41.26,19.26,-31.98,20.62,-30.22,22.68,166.22,31.41,-65.41,-0.48,1.31,90.99,-55.99,-3.44,6.65
0,-50.53,24.15,61.08,-41.26,19.26,-31.98,20.62,-30.22,22.68,166.22,31.41,-65.41,-0.48,1.31,90.99,-56.33,-3.49,6.42
0,-50.53,24.15,61.08,-41.30,18.26,-30.16,20.62,-30.22,22.68,166.22,31.41,-65.41,-0.48,1.31,90.99,-56.33,-3.49,6.42
0,-48.72,24.25,62.07,-41.30,18.26,-30.16,20.62,-30.22,22.68,166.22,31.41,-65.41,-0.48,1.31,90.99,-56.33,-3.49,6.42
0,-48.72,24.25,62.07,-41.30,18.26,-30.16,20.62,-30.22,22.68,166.22,31.41,-65.41,-0.48,1.31,90.99,-56.33,-3.49,6.42
0,-48.72,24.25,62.07,-41.30,18.26,-30.16,22.06,-28.46,20.38,165.89,31.58,-65.48,-0.48,1.31,90.99,-56.33,-3.49,6.42
0,-48.72,24.25,62.07,-41.30,18.26,-30.16,22.06,-28.46,20.38,165.89,31.58,-65.48,-0.58,1.24,91.46,-56.33,-3.49,6.42
0,-48.72,24.25,62.07,-41.30,18.26,-30.16,22.06,-28.46,20.38,165.89,31.58,-65.48,-0.58,1.24,91.46,-56.33,-3.49,6.42
0,-48.72,24.25,62.07,-41.90,18.08,-31.12,22.06,-28.46,20.38,165.89,31.58,-65.48,-0.58,1.24,91.46,-56.61,-3.36,6.34
0,-47.79,23.91,61.05,-41.90,18.08,-31.12,22.06,-28.46,20.38,165.89,31.58,-65.48,-0.58,1.24,91.46,-56.61,-3.36,6.34
0,-47.79,23.91,61.05,-41.90,18.08,-31.12,22.06,-28.46,20.38,165.89,31.58,-65.48,-0.58,1.24,91.46,-56.61,-3.36,6.34
0,-47.79,23.91,61.05,-41.90,18.08,-31.12,22.99,-27.20,18.41,165.73,31.41,-65.40,-0.58,1.24,91.46,-56.61,-3.36,6.34
0,-47.79,23.91,61.05,-41.90,18.08,-31.12,22.99,-27.20,18.41,165.73,31.41,-65.40,-0.58,1.24,91.46,-56.61,-3.36,6.34
0,-47.79,23.91,61.05,-41.90,18.08,-31.12,22.99,-27.20,18.41,165.73,31.41,-65.40,-0.72,0.93,91.09,-56.61,-3.36,6.34
0,-47.79,23.91,61.05,-42.59,17.55,-33.41,22.99,-27.20,18.41,165.73,31.41,-65.40,-0.72,0.93,91.09,-56.60,-3.38,6.26
0,-47.79,23.91,61.05,-42.59,17.55,-33.41,22.99,-27.20,18.41,165.73,31.41,-65.40,-0.72,0.93,91.09,-56.60,-3.38,6.26
0,-46.73,24.11,60.53,-42.59,17.55,-33.41,22.99,-27.20,18.41,165.73,31.41,-65.40,-0.72,0.93,91.09,-56.60,-3.38,6.26
0,-46.73,24.11,60.53,-42.59,17.55,-33.41,22.99,-27.20,18.41,165.91,31.08,-64.53,-0.72,0.93,91.09,-56.60,-3.38,6.26
0,-46.73,24.11,60.53,-42.59,17.55,-33.41,24.25,-26.44,16.22,165.91,31.08,-64.53,-0.72,0.93,91.09,-56.60,-3.38,6.26
0,-46.73,24.11,60.53,-42.59,17.55,-33.41,24.25,-26.44,16.22,165.91,31.08,-64.53,-0.72,0.93,91.09,-56.60,-3.38,6.26
